sl no,prompt
0,Fair skin female wearing athletic clothes and footwear
1,"Fair skin female wearing athletic clothes, headgear and footwear"
2,Dark skin female wearing athletic clothes and footwear indoor
3,Fair skin female wearing sporty clothes and footwear in nature
4,"Fair skin male wearing sporty clothes, wrist gear and footwear"
5,Fair skin male wearing sporty clothes and footwear
6,Fair skin female wearing sporty clothes and footwear
7,"Fair skin male wearing athletic clothes, headgear and footwear"
8,"Dark skin male wearing sporty clothes, wristgear and footwear"
9,Dark skin female wearing sporty clothes and footwear
10,"Fair skin  male wearing athletic clothes, wrist gear and footwear"
11,Fair skin female wearing sporty clothes and footwear in nature
12, Dark skin female wearingathletic clothes and footwear
13,Fair skin male wearing sporty clothes and footwear indoor
14,Fair skin male wearing athletic clothes and footwear in nature
15,"Dark skin male wearing athletic clothes, wrist gear and footwear indoor"
16,"Fair skin female wearing sporty clothes, wrist gear and foot wear indoor"
17,Dark skin female wearing sporty clothes and footwear indoor
18,Dark skin female wearing athletic clothes and footwear 
19,Fair skin female wearing athletic clothes and footwear indoor
20,"Fair skin female wearing sporty clothes, wrist gear and footwear"
21,Fair skin female wearing sporty clothes indoor
22,"Fair skin female wearing sporty clothes, wrist gear and footwear indoor"
23,Fair skin male wearing sporty clothes and footwear 
24,Fair skin male wearing sporty clothes and footwear
25,"Fair skin male wearing sporty clothes, wrist gear and footwear"
26,Dark skin female wearing sporty clothes and footwear 
27,Dark skin male wearing sporty clothes and footwear indoor
28,Fair skin female wearing casual clothes and footwear
29,Fair skin female wearing casual clothes and footwear indoor
30,"Fair skin male wearing casual clothes, wrist gear and footwear indoor"
31,Fair skin female wearing casual clothes indoors
32,"Dark skin female wearing casual clothes, head gear and footwear in nature"
33,Fair skin female wearing casual clothes and footwear in industrial scene
34,Fair skin male wearing casual clothes and footwear in nature
35,"Fair skin female wearing casual clothes, wrist gear and footwear in nature"
36,Dark skin female wearing casual clothes in nature
37,Fair skin male wearing casual clothes and footwear 
38,Dark skin male wearing casual clothes and footwear
39,Dark skin male wearing casual clothes and footwear
40,Fair skin female wearing casual clothes indoor
41,Fair skin female wearing casual clothes and footwear indoor
42,Fair skin male wearing casual clothes and footwear indoor
43,Dark skin male wearing casual clothes and footwear
44,Dark skin male wearing casual clothes and footwear in nature
